player_name,runs,balls,dismissals,sixes,fours,wickets,runs_conceded,balls_bowled
S Dube,1937,1427,63,122,122,4,249,138
Navdeep Saini,25,29,2,0,2,18,818,589
JM Bairstow,1382,981,39,61,141,0,0,0
N Pooran,2053,1332,71,149,139,0,0,0
SM Curran,830,631,35,35,72,50,1895,1177
CA Ingram,135,121,9,3,14,0,0,0
KMA Paul,15,20,4,1,1,8,203,140
GC Viljoen,3,7,2,0,0,7,229,146
CV Varun,27,51,6,0,3,100,2397,1923
NS Naik,30,50,3,0,2,0,0,0
GH Vihari,261,296,16,1,20,1,31,24
P Ray Barman,19,25,1,0,2,0,56,24
MJ Santner,135,131,8,6,9,28,812,662
SC Kuggeleijn,0,0,0,0,0,2,71,50
AS Joseph,27,32,1,0,3,19,630,405
JP Behrendorff,3,5,0,0,0,16,466,310
S Midhun,0,0,0,0,0,0,29,13
HF Gurney,1,5,0,0,0,7,239,169
SD Lad,15,13,1,1,1,0,0,0
R Parag,1601,1139,58,98,109,8,445,290
JL Denly,0,1,1,0,0,0,0,0
LS Livingstone,855,568,34,61,59,10,401,270
Arshdeep Singh,30,46,6,0,4,93,2820,1910
AJ Turner,24,31,5,2,0,0,0,0
DW Steyn,103,118,18,2,7,82,2187,1905
Harpreet Brar,228,201,9,9,18,30,999,757
SE Rutherford,451,355,20,31,28,0,52,35
Y Prithvi Raj,0,1,0,0,0,1,57,33
O Thomas,0,0,0,0,0,5,72,57
AS Roy,78,66,8,2,6,15,476,339
S Sandeep Warrier,0,0,0,0,0,8,257,176
P Simran Singh,1814,1181,58,94,187,0,0,0
J Suchith,70,62,4,3,6,17,545,398
JL Pattinson,15,13,1,0,2,11,321,222
A Nortje,45,50,7,0,5,43,1421,953
SS Cottrell,0,2,1,0,0,4,160,111
Ravi Bishnoi,35,56,10,2,2,67,2100,1571
PK Garg,237,205,16,7,16,0,0,0
JO Holder,276,223,20,19,12,57,1551,1090
Abdul Samad,801,556,40,50,53,2,125,58
YBK Jaiswal,2308,1539,64,98,279,0,6,1
RD Gaikwad,2581,1989,69,97,235,0,0,0
KL Nagarkoti,19,31,4,0,1,4,252,165
TU Deshpande,53,35,3,4,2,50,1608,1021
JR Philippe,66,59,2,1,8,0,0,0
D Padikkal,1914,1457,70,70,205,0,0,0
Kartik Tyagi,17,21,6,1,1,31,1121,699
I Udana,11,9,2,1,0,8,256,164
JDS Neesham,92,93,9,2,6,8,329,209
N Jagadeesan,162,155,9,2,21,0,0,0
JR Hazlewood,4,16,1,0,0,50,1306,916
Shahbaz Ahmed,512,437,25,28,26,24,912,540
CJ Green,0,0,0,0,0,0,24,17
AT Carey,14,9,0,0,0,0,0,0
MR Marsh,1468,1011,50,87,126,21,504,380
P Dubey,23,33,1,0,2,2,83,61
T Banton,8,14,1,0,0,0,0,0
Monu Kumar,0,0,0,0,0,0,20,16
DR Sams,43,45,7,3,1,13,430,309
M Jansen,189,180,14,9,9,42,1583,1009
